EnsembleID,P3256PE,P3013PE,P3302PE,P3078PE
ENSG00000178922,3.553553716,5.35661422,3.097915969,4.139638344
ENSG00000178927,5.995960406,4.900836373,5.744327642,4.274126854
ENSG00000178935,2.616596106,2.542644991,2.418015942,1.944494569
ENSG00000178950,6.774665091,5.095529644,6.670557408,5.497616523
ENSG00000178951,6.36192923,5.539867627,6.670557408,6.251311143
ENSG00000178952,5.314129748,3.791032436,4.421669871,4.139638344
ENSG00000178965,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000178966,2.414620149,3.051894838,3.097915969,1.944494569
ENSG00000178971,5.9592741,2.542644991,6.250362408,3.991311731
ENSG00000178974,4.416586093,3.791032436,4.186989936,4.139638344
ENSG00000178977,1.898922375,1.748513077,1.088752109,2.866569266
ENSG00000178980,4.836290223,5.095529644,5.229546028,4.972834917
ENSG00000178982,5.626411093,4.640475531,5.348245381,5.122977247
ENSG00000178988,6.389766688,4.490252064,4.800462183,6.51849767
ENSG00000178996,5.902433846,4.182594687,5.90787848,4.615568118
ENSG00000178997,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000178999,2.414620149,1.456022994,1.088752109,1.088752109
ENSG00000179010,6.990020465,7.349278799,6.310082538,7.214395703
ENSG00000179021,3.553553716,4.230770341,4.186989936,3.991311731
ENSG00000179029,4.570457651,4.081130851,5.229546028,3.991311731
ENSG00000179031,1.088752109,1.088752109,2.418015942,1.088752109
ENSG00000179041,4.048664173,3.051894838,2.418015942,4.274126854
ENSG00000179051,6.117479111,5.719428692,5.100197867,4.891466204
ENSG00000179058,1.088752109,1.088752109,3.906575275,1.088752109
ENSG00000179071,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000179085,2.951486868,4.959194754,1.088752109,3.172394178
ENSG00000179088,2.616596106,1.088752109,2.418015942,1.944494569
ENSG00000179091,3.822244802,2.687771322,2.418015942,3.825969194
ENSG00000179094,4.664617003,2.687771322,4.623462389,3.825969194
ENSG00000179097,1.088752109,1.456022994,1.088752109,1.088752109
ENSG00000179101,1.088752109,3.051894838,1.088752109,2.477977306
ENSG00000179104,2.951486868,1.088752109,3.097915969,1.944494569
ENSG00000179115,4.304058266,5.501108874,3.906575275,5.441549909
ENSG00000179119,5.128335926,4.132754571,4.186989936,4.397140402
ENSG00000179134,4.18200527,3.914154919,5.744327642,3.825969194
ENSG00000179144,7.399010607,5.78543018,5.983188686,7.874147408
ENSG00000179151,3.738121214,2.819623921,4.421669871,4.139638344
ENSG00000179152,3.648786975,4.604360533,4.186989936,4.139638344
ENSG00000179163,2.951486868,1.456022994,1.088752109,1.088752109
ENSG00000179195,5.371099241,8.312118062,5.655029262,5.963507008
ENSG00000179218,6.785183891,6.415645606,6.422581909,6.597590862
ENSG00000179222,2.793736963,2.199544088,2.418015942,3.172394178
ENSG00000179240,1.898922375,1.748513077,2.418015942,1.088752109
ENSG00000179241,3.223098796,3.656413694,2.418015942,3.424592397
ENSG00000179242,1.088752109,1.088752109,2.418015942,1.088752109
ENSG00000179253,1.088752109,1.456022994,2.418015942,1.088752109
ENSG00000179262,5.995960406,4.132754571,5.457916698,6.545346755
ENSG00000179271,5.025620765,3.051894838,1.088752109,5.19256837
ENSG00000179277,2.17969193,2.542644991,2.418015942,1.088752109
ENSG00000179295,6.389766688,7.00598423,4.958100236,6.315108151
ENSG00000179299,1.898922375,1.088752109,2.418015942,1.088752109
ENSG00000179304,1.898922375,1.088752109,1.088752109,1.088752109
ENSG00000179314,1.088752109,1.456022994,1.088752109,1.944494569
ENSG00000179331,2.17969193,1.088752109,1.088752109,1.944494569
ENSG00000179335,6.100733496,3.914154919,5.229546028,4.274126854
ENSG00000179344,6.720888984,3.25190465,2.418015942,5.963507008
ENSG00000179348,4.244322104,7.206007884,5.828419435,5.322423668
ENSG00000179361,5.47870341,7.106235209,4.186989936,5.441549909
ENSG00000179363,1.088752109,1.456022994,1.088752109,1.088752109
ENSG00000179364,4.61830537,4.567318204,4.623462389,4.397140402
ENSG00000179387,3.223098796,3.155363047,3.906575275,2.477977306
ENSG00000179388,3.822244802,3.25190465,4.800462183,2.477977306
ENSG00000179397,1.088752109,1.991583045,1.088752109,1.088752109
ENSG00000179399,1.549975946,3.656413694,3.097915969,1.088752109
ENSG00000179403,1.088752109,1.088752109,2.418015942,1.088752109
ENSG00000179406,2.17969193,1.456022994,1.088752109,1.088752109
ENSG00000179409,3.223098796,1.748513077,3.906575275,1.088752109
ENSG00000179454,3.553553716,4.490252064,3.906575275,3.172394178
ENSG00000179455,1.088752109,1.456022994,1.088752109,1.088752109
ENSG00000179456,4.915028193,3.427531898,5.559836752,3.825969194
ENSG00000179476,2.414620149,1.991583045,1.088752109,2.477977306
ENSG00000179477,1.549975946,1.088752109,1.088752109,1.088752109
ENSG00000179523,2.414620149,2.381270101,3.097915969,1.944494569
