EnsembleID,P3240SPE,P3072PE,P3330PE,P3113SPE
ENSG00000188766,1.362028924,1.362028924,1.362028924,2.482889605
ENSG00000188778,1.362028924,1.362028924,2.860406165,1.362028924
ENSG00000188779,1.362028924,3.595062759,2.297582008,1.362028924
ENSG00000188785,1.362028924,1.362028924,2.297582008,3.539723606
ENSG00000188786,3.111384157,4.073925384,4.82654835,3.265500105
ENSG00000188807,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000188811,1.970750446,1.362028924,3.264245782,3.77005544
ENSG00000188818,1.698259332,2.873298476,1.362028924,1.362028924
ENSG00000188820,2.866484304,1.362028924,3.264245782,3.968626535
ENSG00000188822,1.362028924,1.362028924,2.297582008,1.362028924
ENSG00000188825,1.698259332,4.720008595,1.362028924,1.362028924
ENSG00000188827,6.287781902,3.595062759,5.146190752,4.370766879
ENSG00000188828,1.970750446,1.362028924,1.362028924,1.83876202
ENSG00000188846,7.131286064,9.576820343,8.50713627,8.824996021
ENSG00000188848,2.199859906,1.362028924,1.362028924,3.265500105
ENSG00000188859,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000188868,1.698259332,3.595062759,1.362028924,2.482889605
ENSG00000188873,1.362028924,2.873298476,1.362028924,1.362028924
ENSG00000188878,2.726445499,3.595062759,1.362028924,1.83876202
ENSG00000188895,5.637911659,5.50407225,5.407699349,6.744877629
ENSG00000188897,4.511549935,4.432835737,2.860406165,5.669185506
ENSG00000188906,5.099209574,5.647880738,4.247284286,7.11329189
ENSG00000188916,1.698259332,1.362028924,1.362028924,1.83876202
ENSG00000188917,4.17687333,1.362028924,2.860406165,3.409117527
ENSG00000188921,8.406033525,4.073925384,6.042400591,6.359119169
ENSG00000188933,1.362028924,1.362028924,1.362028924,2.721750054
ENSG00000188937,1.362028924,2.873298476,2.297582008,1.362028924
ENSG00000188938,3.219825396,6.009222601,5.047308503,4.143143891
ENSG00000188958,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000188976,3.414946844,5.50407225,4.702055223,4.298810372
ENSG00000188981,1.362028924,1.362028924,1.362028924,2.196479516
ENSG00000188986,3.586794977,3.595062759,4.82654835,4.223075661
ENSG00000188994,7.192452227,5.344325482,5.820827315,6.849320997
ENSG00000188996,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000188997,1.362028924,1.362028924,3.264245782,2.926623954
ENSG00000189002,1.362028924,2.873298476,1.362028924,1.362028924
ENSG00000189007,4.553601491,1.362028924,2.297582008,2.721750054
ENSG00000189014,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000189042,2.571337666,1.362028924,1.362028924,3.65948132
ENSG00000189043,6.752379081,6.297947081,6.659594425,6.229648788
ENSG00000189045,5.657326448,1.362028924,2.860406165,2.926623954
ENSG00000189046,1.970750446,1.362028924,4.247284286,2.482889605
ENSG00000189050,4.065024699,1.362028924,2.297582008,2.721750054
ENSG00000189052,1.362028924,3.595062759,2.860406165,1.83876202
ENSG00000189056,1.362028924,1.362028924,1.362028924,2.196479516
ENSG00000189057,1.698259332,1.362028924,1.362028924,1.362028924
ENSG00000189058,2.199859906,1.362028924,1.362028924,1.362028924
ENSG00000189060,7.3498947,7.134643738,6.321640672,5.83099024
ENSG00000189067,4.594461968,6.980144287,5.558938933,6.267840943
ENSG00000189068,1.698259332,1.362028924,1.362028924,1.83876202
ENSG00000189077,2.199859906,1.362028924,4.057074522,2.196479516
ENSG00000189079,6.779210676,5.344325482,5.695817466,5.386345752
ENSG00000189091,5.208535837,5.344325482,5.047308503,5.640361601
ENSG00000189114,2.39752232,2.873298476,2.860406165,2.482889605
ENSG00000189134,1.362028924,1.362028924,1.362028924,2.482889605
ENSG00000189136,6.725038993,4.073925384,5.935863512,4.793614843
ENSG00000189143,1.698259332,2.873298476,3.579413189,1.362028924
ENSG00000189144,2.39752232,1.362028924,2.297582008,3.65948132
ENSG00000189149,2.199859906,2.873298476,1.362028924,2.196479516
ENSG00000189159,4.005671065,5.344325482,4.247284286,3.65948132
ENSG00000189164,1.362028924,4.073925384,1.362028924,2.196479516
ENSG00000189171,2.866484304,4.073925384,4.057074522,3.539723606
ENSG00000189180,6.743323165,4.432835737,5.146190752,5.454164097
ENSG00000189182,1.362028924,1.362028924,1.362028924,1.83876202
ENSG00000189190,1.970750446,1.362028924,2.860406165,4.223075661
ENSG00000189195,1.970750446,1.362028924,1.362028924,1.83876202
ENSG00000189212,1.698259332,1.362028924,2.297582008,1.362028924
ENSG00000189221,1.362028924,4.432835737,2.297582008,2.196479516
